source_tag,source_category,source_posts,target_tag,alias_status,target_category,target_posts,target_has_definition,target_is_alias
stuck_in_wall,general,3913,through_wall,active,general,5277,1,0
conical_flask,general,456,erlenmeyer_flask,active,general,973,1,0
jail_cell,general,455,prison_cell,active,general,1303,1,0
zabaniya_(tokyo_houkago_summoners),character,455,zabaniyya_(housamo),active,character,946,1,0
girder,general,380,steel_beam,active,general,485,1,0
morning_star_(weapon),general,380,spiked_mace,active,general,690,1,0
origa_discordia,character,380,olga_discordia,active,character,624,1,0
v_flower,general,380,flower_(vocaloid),active,character,1087,1,0
cherry_blossom_viewing,general,379,hanami,active,general,972,1,0
fake_fingernails,general,379,fake_nails,active,alias,1923,1,0
sango_(pokemon),character,379,coral_(pokemon),active,character,943,1,0
bunny_mask,general,378,rabbit_mask,active,general,518,1,0
ripped_kimono,general,378,torn_kimono,active,general,796,1,0
shimokura_megu,character,377,megu_(blue_archive),active,character,736,1,0
slice_of_pie,general,376,pie_slice,active,general,620,1,0
white_rabbit_(wonderland),general,376,white_rabbit_(alice_in_wonderland),active,character,812,1,0
flower_viewing,general,375,hanami,active,general,972,1,0
food_on_finger,general,374,food_on_hand,active,general,1064,1,0
iwasama_masami,character,374,iwasawa_masami,active,character,440,1,0
akari_(pokemon_legends:_arceus),character,373,akari_(pokemon),active,character,4237,1,0
hair_buns,general,373,double_bun,active,general,174394,1,0
dlanor_a_knox,character,372,dlanor_a._knox,active,character,466,1,0
gekka_no_kenshi,copyright,369,bakumatsu_rouman,active,copyright,461,1,0
iwasawa,character,369,iwasawa_masami,active,character,440,1,0
doughnut_box,general,368,pastry_box,active,general,519,1,0
flash_suppressor,general,367,muzzle_device,active,general,632,1,0
grumpy_nun_(diva),character,366,strict_nun_(diva),active,character,561,1,0
mai_valentine,character,365,kujaku_mai,active,character,565,1,0
cape_removed,general,364,unworn_cape,active,general,1355,1,0
ffi,copyright,364,final_fantasy_i,active,copyright,573,1,0
fire_emblem_if,copyright,364,fire_emblem_fates,active,copyright,27159,1,0
spider_arms,general,364,arthropod_limbs,active,general,3263,1,0
io_euclase,character,363,io_(granblue_fantasy),active,character,376,1,0
kimono_removed,general,363,unworn_kimono,active,general,495,1,0
yakuza_tattoo,general,363,irezumi,active,general,696,1,0
night_table,general,362,nightstand,active,general,1057,1,0
drink_umbrella,general,361,cocktail_umbrella,active,general,513,1,0
tsuchiya_muuton,character,361,tsuchiya_(girls_und_panzer),active,character,430,1,0
character_keychain,general,359,character_charm,active,general,2370,1,0
ocean_floor,general,359,seafloor,active,general,473,1,0
alternate_race,general,358,alternate_species,active,general,1434,1,0
boxers_pull,general,358,male_underwear_pull,active,general,1940,1,0
chargebolt_(boku_no_hero_academia),general,358,kaminari_denki,active,character,860,1,0
oppai_day,general,358,breasts_day,active,general,617,1,0
hidden_masturbation,general,356,stealth_masturbation,active,general,819,1,0
leaf_on_crotch,general,356,leaf_censor,active,general,461,1,0
meteor_hammer,general,356,ball_and_chain_(weapon),active,general,1256,1,0
yunjin_(genshin_impact),character,356,yun_jin_(genshin_impact),active,character,1022,1,0
lapel_flower,general,355,boutonniere,active,general,875,1,0
pacman_(game),general,355,pac-man_(game),active,copyright,660,1,0
chidori_michiru,character,354,michiru_(blue_archive),active,character,940,1,0
shishidou_izumi,character,354,izumi_(blue_archive),active,character,668,1,0
shizuku_(hunter_x_hunter),character,353,shizuku_murasaki,active,character,577,1,0
fig_leaf_(idiom),general,352,leaf_censor,active,general,461,1,0
kson_(1st_costume),character,352,souchou,active,character,395,1,0
shield_arm,general,352,shield_module,active,general,399,1,0
blood_manipulation,general,351,hemokinesis,active,general,579,1,0
headscissors,general,350,scissorhold,active,general,907,1,0
leaf_on_nipple,general,349,leaf_censor,active,general,461,1,0
natsuiro_matsuri_(loungewear),character,349,natsuiro_matsuri_(matsuri's_day_off),active,,,0,0
kuvira_(granblue_fantasy),character,348,kumbhira_(granblue_fantasy),active,character,618,1,0
bamboo_sprout,general,347,bamboo_shoot,active,general,729,1,0
short_pants,general,347,shorts,active,general,659552,1,0
star_pillow,general,347,star-shaped_pillow,active,general,568,1,0
ocean_bottom,general,346,seafloor,active,general,473,1,0
prosthetic_shield,general,346,shield_module,active,general,399,1,0
senbon-zakura_(vocaloid),copyright,346,senbonzakura_(vocaloid),active,copyright,163,1,0
leona_west,character,345,reona_west,active,character,572,1,0
scarf_removed,general,345,unworn_scarf,active,general,1420,1,0
digifake,general,344,oridigi,active,general,2048,1,0
unbuttoned_pants,general,343,open_fly,active,general,26927,1,0
asymmetrical_earrings,general,342,mismatched_earrings,active,general,1773,1,0
sheer_leotard,general,342,see-through_leotard,active,general,5203,1,0
bow_shirt,general,341,shirt_bow,active,general,1161,1,0
isami_kaede,character,341,kaede_(blue_archive),active,character,1305,1,0
kawawa_shizuko,character,341,shizuko_(blue_archive),active,character,610,1,0
material-s,character,340,stern_the_destructor,active,character,450,1,0
earlobes,general,339,long_earlobes,active,general,1710,1,0
limited/zero_over,character,339,senji_muramasa_(fate),active,character,936,1,0
thalatha_(granblue_fantasy),character,339,threo_(granblue_fantasy),active,character,394,1,0
jounouchi_katsuya,character,338,jonouchi_katsuya,active,character,459,1,0
studded_penis,general,338,spiked_penis,active,general,1106,1,0
yuu-gi-ou_vrains,copyright,338,yu-gi-oh!_vrains,active,copyright,976,1,0
katalina_aryze,character,337,katalina_(granblue_fantasy),active,character,518,1,0
menhera_kei,general,337,yami_kawaii,active,general,1096,1,0
my_hero_academia:_vigilantes,copyright,336,vigilante_-boku_no_hero_academia:_illegals-,active,copyright,587,1,0
violet_(one_piece),character,336,viola_(one_piece),active,character,440,1,0
cat_food,general,335,pet_food,active,general,953,1,0
jon_talbain,character,335,gallon_(vampire),active,character,247,0,0
messaging,general,334,text_messaging,active,general,1560,1,0
blackbeard_(fate),character,333,edward_teach_(fate),active,character,405,1,0
british,general,332,united_kingdom,active,general,460,1,0
hair_tassel,general,332,tassel_hair_ornament,active,general,9250,1,0
arm_in_one_sleeve,general,330,arm_out_of_sleeve,active,general,1234,1,0
mechanical_animal,general,330,robot_animal,active,general,2102,1,0
orie_(under_night_in-birth),character,330,orie_ballardiae_harada,active,character,519,1,0
harada_orie,character,328,orie_ballardiae_harada,active,character,519,1,0
holding_remote,general,328,holding_remote_control,active,general,2113,1,0
dancer_(three_houses),general,327,dancer_(fire_emblem:_three_houses),active,general,482,1,0
puking_cum,general,327,vomiting_cum,active,general,484,1,0
shoe_flower,general,327,footwear_flower,active,general,936,1,0
female_protagonist_(pokemon_legends:_arceus),character,326,akari_(pokemon),active,character,4237,1,0
frioniel,character,326,firion,active,character,501,1,0
half-life,copyright,326,half-life_(series),active,copyright,321,1,0
oono_tsukuyo,character,326,tsukuyo_(blue_archive),active,character,751,1,0
alph_(nanoha),character,324,arf,active,character,337,1,0
x_pasties,general,324,cross_pasties,active,general,2439,1,0
tressa_(octopath_traveler),character,323,tressa_colzione,active,character,99,0,0
janna_windforce,character,321,janna_(league_of_legends),active,character,404,1,0
yami_no_sho,character,321,tome_of_the_night_sky,active,character,351,1,0
fire_emblem:_three_hopes,copyright,320,fire_emblem_warriors:_three_hopes,active,copyright,2411,1,0
punching_at_viewer,general,320,incoming_punch,active,general,1034,1,0
potstickers,general,319,jiaozi,active,general,717,1,0
bludgeoning_angel_dokuro-chan,copyright,318,bokusatsu_tenshi_dokuro-chan,active,copyright,454,0,0
new_driver_mark,general,318,shoshinsha_mark,active,general,462,1,0
standing_on_one_hand,general,318,one_arm_handstand,active,general,671,1,0
book_of_darkness_(nanoha),character,317,tome_of_the_night_sky,active,character,351,1,0
book_of_the_night_sky,character,317,tome_of_the_night_sky,active,character,351,1,0
buch_der_dunkelheit,character,317,tome_of_the_night_sky,active,character,351,1,0
buch_der_nachthimmel,character,317,tome_of_the_night_sky,active,character,351,1,0
single_handstand,general,317,one_arm_handstand,active,general,671,1,0
yaten_no_sho,character,317,tome_of_the_night_sky,active,character,351,1,0
douki-chan_(yomu_(sgt_epper)),character,316,douki-chan_(douki-chan),active,character,620,1,0
hyakkano,copyright,316,kimi_no_koto_ga_dai_dai_dai_dai_daisuki_na_100-nin_no_kanojo,active,copyright,3461,1,0
labelko,character,316,label_girl_(dipp),active,character,605,1,0
levi_russel,character,316,levi_the_slasher,active,character,346,1,0
motimon,character,316,mochimon,active,character,1025,1,0
licking_cheek,general,315,licking_another's_cheek,active,,,0,0
how_clumsy_you_are_miss_ueno,general,314,ueno-san_wa_bukiyou,active,copyright,436,1,0
sound_of_the_sky,copyright,314,sora_no_woto,active,copyright,317,1,0
water_magic,general,314,hydrokinesis,active,general,2289,1,0
faris_nyannyan,character,313,akiha_rumiho,active,character,969,1,0
yorha_type_p_no._2,character,312,2p_(nier:automata),active,character,417,1,0
alexiel_(granblue_fantasy),character,309,godsworn_alexiel,active,character,380,1,0
criminal_photo,general,308,mugshot,active,general,925,1,0
eyewear_slip,general,308,crooked_eyewear,active,general,496,1,0
takemaru_(tokyo_houkago_summoners),character,308,takemaru_(housamo),active,character,483,1,0
akeshiro_rumi,character,306,rumi_(blue_archive),active,character,949,1,0
crescent_moon_symbol,general,306,crescent,active,general,61027,1,0
prison_photo,general,306,mugshot,active,general,925,1,0
bloody_bandages,general,305,blood_on_bandages,active,general,1644,1,0
octopus_wiener,general,305,tako-san_wiener,active,general,602,1,0
regal_bryant,character,305,regal_bryan,active,alias,305,1,0
oki_aoi,character,304,aoi_(blue_archive),active,character,732,1,0
virtual_kaf,copyright,304,kamitsubaki_studio,active,copyright,6081,1,0
wakaba_mark,general,304,shoshinsha_mark,active,general,462,1,0
0.01_condom,general,303,okamoto_condoms,active,general,456,1,0
bsapricot_(vtuber),character,303,apricot_the_lich,active,character,553,1,0
kayama_reijo,character,303,reijo_(blue_archive),active,character,954,1,0
repede,character,303,repede_(tales),active,character,354,1,0
socie_(granblue_fantasy),character,303,societte_(granblue_fantasy),active,character,377,1,0
aegir_(tokyo_houkago_summoners),character,302,aegir_(housamo),active,character,496,1,0
kuujou_holly,character,302,kujo_holy,active,character,21,1,0
macross_frontier:_the_false_songstress,copyright,302,macross_frontier:_itsuwari_no_utahime,active,copyright,318,1,0
maine_(honzuki_no_gekokujou),character,302,myne_(honzuki_no_gekokujou),active,character,577,1,0
pink_obi,general,302,pink_sash,active,general,2100,1,0
renkawa_cherino,character,302,cherino_(blue_archive),active,character,706,1,0
image_fill,general,300,double_exposure,active,general,918,1,0
rozemyne_(honzuki_no_gekokujou),character,300,myne_(honzuki_no_gekokujou),active,character,577,1,0
amazawa_keisuke,character,299,amasawa_keisuke,active,character,460,1,0
minah_(chaesu),character,299,bae_minah_(chaesu),active,character,383,1,0
little_buddy_(splatoon),character,298,smallfry_(splatoon),active,character,826,1,0
off-shoulder_swimsuit,general,298,off-shoulder_one-piece_swimsuit,active,general,1789,1,0
ranking_of_kings,copyright,298,ousama_ranking,active,copyright,771,1,0
aa_gun,general,297,anti-aircraft_gun,active,general,777,1,0
mr._saturn,character,297,doseisan,active,character,446,1,0
sucking_nipples_(male),general,297,sucking_male_nipple,active,general,928,1,0
symphony_regalia,character,297,jakuzure_nonon_(symphony_regalia),active,character,322,1,0
unthinkable_natural_law,general,297,touhou_hisoutensoku,active,copyright,368,1,0
v_flower_(vocaloid4),general,296,flower_(vocaloid4),active,character,795,1,0
weapon_sheet,general,296,weapon_focus,active,general,1654,1,0
flash_hider,general,295,muzzle_device,active,general,632,1,0
ikekura_marina,character,295,marina_(blue_archive),active,character,678,1,0
