alias_tag,category,posts,aliases,nsfw,canonical_tag,canonical_category,canonical_posts,canonical_has_definition
stuck_in_wall,general,3913,,,through_wall,general,5277,1
conical_flask,general,456,,,erlenmeyer_flask,general,973,1
jail_cell,general,455,,,prison_cell,general,1303,1
zabaniya_(tokyo_houkago_summoners),character,455,,,zabaniyya_(housamo),character,946,1
girder,general,380,,,steel_beam,general,485,1
morning_star_(weapon),general,380,,,spiked_mace,general,690,1
origa_discordia,character,380,,,olga_discordia,character,624,1
v_flower,general,380,,,flower_(vocaloid),character,1087,1
cherry_blossom_viewing,general,379,,,hanami,general,972,1
fake_fingernails,general,379,,,fake_nails,alias,1923,1
sango_(pokemon),character,379,,,coral_(pokemon),character,943,1
bunny_mask,general,378,,,rabbit_mask,general,518,1
ripped_kimono,general,378,,,torn_kimono,general,796,1
shimokura_megu,character,377,,,megu_(blue_archive),character,736,1
slice_of_pie,general,376,,,pie_slice,general,620,1
white_rabbit_(wonderland),general,376,,,white_rabbit_(alice_in_wonderland),character,812,1
flower_viewing,general,375,,,hanami,general,972,1
food_on_finger,general,374,,,food_on_hand,general,1064,1
iwasama_masami,character,374,,,iwasawa_masami,character,440,1
akari_(pokemon_legends:_arceus),character,373,,,akari_(pokemon),character,4237,1
hair_buns,general,373,,,double_bun,general,174394,1
dlanor_a_knox,character,372,,,dlanor_a._knox,character,466,1
gekka_no_kenshi,copyright,369,,,bakumatsu_rouman,copyright,461,1
iwasawa,character,369,,,iwasawa_masami,character,440,1
doughnut_box,general,368,,,pastry_box,general,519,1
flash_suppressor,general,367,,,muzzle_device,general,632,1
grumpy_nun_(diva),character,366,,,strict_nun_(diva),character,561,1
mai_valentine,character,365,,,kujaku_mai,character,565,1
cape_removed,general,364,,,unworn_cape,general,1355,1
ffi,copyright,364,,,final_fantasy_i,copyright,573,1
fire_emblem_if,copyright,364,,,fire_emblem_fates,copyright,27159,1
spider_arms,general,364,,,arthropod_limbs,general,3263,1
io_euclase,character,363,,,io_(granblue_fantasy),character,376,1
kimono_removed,general,363,,,unworn_kimono,general,495,1
yakuza_tattoo,general,363,,,irezumi,general,696,1
night_table,general,362,,,nightstand,general,1057,1
drink_umbrella,general,361,,,cocktail_umbrella,general,513,1
tsuchiya_muuton,character,361,,,tsuchiya_(girls_und_panzer),character,430,1
character_keychain,general,359,,,character_charm,general,2370,1
ocean_floor,general,359,,,seafloor,general,473,1
alternate_race,general,358,,,alternate_species,general,1434,1
boxers_pull,general,358,,,male_underwear_pull,general,1940,1
chargebolt_(boku_no_hero_academia),general,358,,,kaminari_denki,character,860,1
oppai_day,general,358,,,breasts_day,general,617,1
hidden_masturbation,general,356,,,stealth_masturbation,general,819,1
leaf_on_crotch,general,356,,,leaf_censor,general,461,1
meteor_hammer,general,356,,,ball_and_chain_(weapon),general,1256,1
yunjin_(genshin_impact),character,356,,,yun_jin_(genshin_impact),character,1022,1
lapel_flower,general,355,,,boutonniere,general,875,1
pacman_(game),general,355,,,pac-man_(game),copyright,660,1
chidori_michiru,character,354,,,michiru_(blue_archive),character,940,1
shishidou_izumi,character,354,,,izumi_(blue_archive),character,668,1
shizuku_(hunter_x_hunter),character,353,,,shizuku_murasaki,character,577,1
fig_leaf_(idiom),general,352,,,leaf_censor,general,461,1
kson_(1st_costume),character,352,,,souchou,character,395,1
shield_arm,general,352,,,shield_module,general,399,1
blood_manipulation,general,351,,,hemokinesis,general,579,1
headscissors,general,350,,,scissorhold,general,907,1
leaf_on_nipple,general,349,,,leaf_censor,general,461,1
natsuiro_matsuri_(loungewear),character,349,,,natsuiro_matsuri_(matsuri's_day_off),,,0
kuvira_(granblue_fantasy),character,348,,,kumbhira_(granblue_fantasy),character,618,1
bamboo_sprout,general,347,,,bamboo_shoot,general,729,1
short_pants,general,347,,,shorts,general,659552,1
star_pillow,general,347,,,star-shaped_pillow,general,568,1
ocean_bottom,general,346,,,seafloor,general,473,1
prosthetic_shield,general,346,,,shield_module,general,399,1
senbon-zakura_(vocaloid),copyright,346,,,senbonzakura_(vocaloid),copyright,163,1
leona_west,character,345,,,reona_west,character,572,1
scarf_removed,general,345,,,unworn_scarf,general,1420,1
digifake,general,344,,,oridigi,general,2048,1
unbuttoned_pants,general,343,,,open_fly,general,26927,1
asymmetrical_earrings,general,342,,,mismatched_earrings,general,1773,1
sheer_leotard,general,342,,,see-through_leotard,general,5203,1
bow_shirt,general,341,,,shirt_bow,general,1161,1
isami_kaede,character,341,,,kaede_(blue_archive),character,1305,1
kawawa_shizuko,character,341,,,shizuko_(blue_archive),character,610,1
material-s,character,340,,,stern_the_destructor,character,450,1
earlobes,general,339,,,long_earlobes,general,1710,1
limited/zero_over,character,339,,,senji_muramasa_(fate),character,936,1
thalatha_(granblue_fantasy),character,339,,,threo_(granblue_fantasy),character,394,1
jounouchi_katsuya,character,338,,,jonouchi_katsuya,character,459,1
studded_penis,general,338,,,spiked_penis,general,1106,1
yuu-gi-ou_vrains,copyright,338,,,yu-gi-oh!_vrains,copyright,976,1
