alias_tag,alias_category,alias_posts,canonical_tag,canonical_category,canonical_posts,canonical_has_definition
natsuiro_matsuri_(loungewear),character,349,natsuiro_matsuri_(matsuri's_day_off),,,0
jon_talbain,character,335,gallon_(vampire),character,247,0
tressa_(octopath_traveler),character,323,tressa_colzione,character,99,0
bludgeoning_angel_dokuro-chan,copyright,318,bokusatsu_tenshi_dokuro-chan,copyright,454,0
licking_cheek,general,315,licking_another's_cheek,,,0
little_red_riding_hood_(sinoalice),character,288,red_riding_hood_(sinoalice),character,365,0
middle_split,general,286,straddle_split,general,0,0
urtoriy,character,284,ulthury,character,288,0
kamyu,character,246,camyu,character,250,0
party_blower,general,245,party_horn,general,313,0
leg_cling,general,236,hugging_another's_leg,,,0
ophilia_(octopath_traveler),character,226,ophilia_clement,character,81,0
yorha_commander,character,217,commander_(nier:automata),character,275,0
swim_cap_removed,general,214,unworn_swim_cap,general,311,0
soul_hackers,copyright,212,devil_summoner:_soul_hackers,copyright,363,0
roderich_edelstein,character,208,austria_(hetalia),character,243,0
bubaigawara_jin,character,191,twice_(boku_no_hero_academia),character,101,0
pectoral_envy_(meme),general,183,girl_staring_at_guy's_chest_(meme),,,0
rastina,character,180,razia,character,259,0
rurutie_(utawarerumono),character,180,rulutieh,character,206,0
three_leaves_three_colors,copyright,180,sansha_san'you,,,0
friday_night_funkin,copyright,177,friday_night_funkin',,,0
carrot_pillow,general,175,carrot-shaped_pillow,general,265,0
heavenly_hirume,character,175,hirume_of_heavenly_incense,character,367,0
juden_chan,copyright,173,fight_ippatsu!_juuden-chan!!,copyright,172,0
greater_lophorina_(kemono_friends),character,172,superb_bird-of-paradise_(kemono_friends),character,345,0
command_and_conquer,copyright,153,command_&_conquer,,,0
toy_plane,general,151,toy_airplane,general,323,0
mou_shobou,character,150,muu_shuwuu,character,6,0
sayama_saho,character,150,sayama_saho_(gibagiba),alias,129,0
dracmon,character,146,dracumon,character,294,0
drakengard_1,copyright,146,drag-on_dragoon_1,copyright,248,0
echizen_ryoma,character,145,echizen_ryooma,alias,143,0
wario_land:_the_shake_dimension,copyright,144,wario_land:_shake_it!,copyright,207,0
urutori,character,142,ulthury,character,288,0
polly_esther,character,140,pururun_(kyatto_ninden_teyandee),character,158,0
ro635_(dinergate),character,139,banana_(girls'_frontline),,,0
animal_pillow,general,137,animal-shaped_pillow,general,253,0
daimidaler:_prince_vs._penguin_empire,copyright,137,kenzen_robo_daimidaler,copyright,197,0
pumpkinmon,character,134,pumpmon,character,316,0
cyrus_(octopath_traveler),character,133,cyrus_albright,general,83,0
sarana,character,133,saraana,character,141,0
avatar_(pso2),character,132,protagonist_(pso2),character,159,0
beetlemon,character,131,blitzmon,character,275,0
phoenixmon,character,130,hououmon,character,258,0
yuto_(yu-gi-oh!),character,127,yuuto_(yu-gi-oh!),character,146,0
pabumon,character,126,bubbmon,character,257,0
pubg,copyright,125,playerunknown's_battlegrounds,,,0
loweemon,character,124,louwemon,character,179,0
sadik_adnan,character,124,turkey_(hetalia),character,136,0
calmaramon,character,123,calamaramon,character,278,0
saotome_meari,character,123,saotome_mary,character,287,0
yorha_infantry_squad_commander,character,123,commander_(nier:automata),character,275,0
lobomon,character,121,wolfmon,character,241,0
midorikawa_retasu,character,121,midorikawa_lettuce,character,204,0
yugo_(yu-gi-oh!),character,121,yuugo_(yu-gi-oh!),character,131,0
mighty_no._3,character,117,dynatron_(mighty_no._9),character,164,0
headband_removed,general,114,unworn_headband,general,175,0
shark_girl_(azuumori),character,114,mako_(azuumori),character,132,0
neemon,character,113,neamon,character,276,0
sleeping_beauty_(sinoalice),general,112,briar_rose_(sinoalice),character,172,0
ellias_ainsworth,character,109,elias_ainsworth,character,188,0
alfyn_(octopath_traveler),character,108,alfyn_greengrass,general,60,0
cs_perrault,character,108,perrault_(last_origin),character,166,0
megagargomon,character,108,saintgalgomon,character,219,0
ai_(aria),character,107,aino_ai,character,134,0
pegasusmon,character,105,pegasmon,character,184,0
earring_removed,general,101,unworn_earring,general,186,0
gotsumon,character,101,gottsumon,character,237,0
kon_(fate),character,101,con_(fate),character,237,0
lyon_(gensou_suikoden),character,101,lyon_(suikoden),character,108,0
girls_frontline_neural_cloud,general,100,girls'_frontline_neural_cloud,,,0
